dem_attribute,dem_value,type,value1,value2,source
age,adolescent,hobbies,watching scifi movies,watch scifi movies,"Jimenez, J. J. (2017). Leisure activities and hobbies preferred by third year college students. Asia Pacific Journal of Multidisciplinary Research, 5(2), 21-25."
age,adult,drinks,coffee,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
age,adult,food,sea food,,"Terry, A. L., Herrick, K. A., Afful, J., & Ahluwalia, N. (2018). Seafood consumption in the United States, 2013-2016 (Vol. 321). US Department of Health & Human Services, Centers for Disease Control and Prevention, National Center for Health Statistics."
age,adult,hobbies,designing clothes,design clothes,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,adult,hobbies,going on picnics,go on picnics,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,adult,hobbies,going to casinos,go to casinos,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,adult,hobbies,going to dinners at restaurants,go to dinners at restaurant,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,adult,hobbies,practicing martial arts,practice martial arts,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,child,drinks,juice,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
age,child,drinks,milk,,"Cluskey, M., Edlefsen, M., Olson, B., Reicks, M., Auld, G., Bock, M. A., ... & Zaghloul, S. (2008). At-home and away-from-home eating patterns influencing preadolescents’ intake of calcium-rich food as perceived by Asian, Hispanic and non-Hispanic white parents. Journal of Nutrition Education and Behavior, 40(2), 72-79."
age,child,drinks,soda,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,cookies,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,dessert,,"Kinsey, J. D. (1994). Food and families' socioeconomic status. The Journal of nutrition, 124, 1878S-1885S."
age,child,food,french fries,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,hamburgers,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,pizza,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,popcorn,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,potato chips,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,saltine crackers,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,soups,,"Kinsey, J. D. (1994). Food and families' socioeconomic status. The Journal of nutrition, 124, 1878S-1885S."
age,child,food,sweet fruit-flavored cereal,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,food,white rolls,,"Skinner, J. D., Carruth, B. R., Bounds, W., & Ziegler, P. J. (2002). Children's food preferences: a longitudinal analysis. Journal of the American Dietetic Association, 102(11), 1638-1647."
age,child,hobbies,biking,bike,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,playing board games,play board games,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,building things with blocks,build things with blocks,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,building things with Legos,build things with Legos,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,collecting,collect,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,building construction sets,build construction sets,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,playing with dolls,play with dolls,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,going to a public park,go to a public park,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,child,hobbies,going to a zoo,go to a zoo,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,child,hobbies,going to the library,go to the library,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
age,child,hobbies,playing with action figures,play with action figures,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,doing puzzles,do puzzles,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,skate boarding,skate board,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,child,hobbies,skating,skate,"McHale, S. M., Crouter, A. C., & Tucker, C. J. (2001). Free‐time activities in middle childhood: Links with adjustment in early adolescence. Child development, 72(6), 1764-1778."
age,older adult,behavior,ignorant,an ignorant,https://www.ncbi.nlm.nih.gov/books/NBK83758/
age,older adult,behavior,out of touch,an out of touch,https://psycnet.apa.org/record/2008-02102-006
age,older adult,behavior,physically weak,a physically weak,https://www.hindawi.com/journals/jger/2015/954027/
age,older adult,behavior,resistant to change,an inflexible,https://www.researchgate.net/publication/43763348_Age_Resistance_to_Change_and_Job_Performance_Testing_for_A_Common_Stereotype
age,older adult,behavior,stubborn,a stubborn,https://www.sagepub.com/sites/default/files/upm-binaries/50361_ch_9.pdf
age,older adult,behavior,unattractive,an unattractive,https://psycnet.apa.org/record/2008-02102-006
age,older adult,behavior,forgetful,a forgetful,https://www.hindawi.com/journals/jger/2015/954027/
age,older adult,behavior,unable to use technology,a technologically illiterate,https://longevity.stanford.edu/older-adults-and-technology-moving-beyond-the-stereotypes/
age,older adult,behavior,unable to work hard,a slow working,https://www.ncbi.nlm.nih.gov/books/NBK83758/
age,older adult,behavior,not creative,an uncreative,https://www.hindawi.com/journals/jger/2015/954027/
age,older adult,behavior,hard of hearing,a hard of hearing,https://www.karger.com/Article/Abstract/439349
age,older adult,food,apple pie,,"TILSTON, C. H., NEALE, R. J., GREGSON, K., & PRICE, A. (1994). Study of food preferences of an elderly population receiving meals on wheels in Nottinghamshire. Journal of Consumer Studies & Home Economics, 18(1), 31-43."
age,older adult,food,apple sauce,,"Uetz, M. P., Anderson, B. L., & McLaughlin, E. W. (1984). The Applesauce Industry: Market Analysis and Strategic Implications."
age,older adult,food,mashed potatoes,,"Beelen, J., de Roos, N. M., & De Groot, L. C. P. G. M. (2017). Protein enrichment of familiar foods as an innovative strategy to increase protein intake in institutionalized elderly. The Journal of nutrition, health and aging, 21(2), 173-179."
age,older adult,food,meatloaf,,"Matsuo, K., Kito, N., Ogawa, K., Izumi, A., & Masuda, Y. (2020). Effects of textured foods on masticatory muscle activity in older adults with oral hypofunction. Journal of Oral Rehabilitation, 47(2), 180-186."
age,older adult,food,porridge,,"Khatcha, S., Vatthanakul, S., & Lertworasirikul, S. Application of linear programming techniques in porridge development for the elderly."
age,older adult,hobbies,gardening,garden,"Iwasa, H., Yoshida, Y., Kai, I., Suzuki, T., Kim, H., & Yoshida, H. (2012). Leisure activities and cognitive function in elderly community-dwelling individuals in Japan: a 5-year prospective cohort study. Journal of psychosomatic research, 72(2), 159-164."
age,older adult,hobbies,going for walks,go for walks,"Iwasa, H., Yoshida, Y., Kai, I., Suzuki, T., Kim, H., & Yoshida, H. (2012). Leisure activities and cognitive function in elderly community-dwelling individuals in Japan: a 5-year prospective cohort study. Journal of psychosomatic research, 72(2), 159-164."
age,older adult,hobbies,knitting,knit,"Iwasa, H., Yoshida, Y., Kai, I., Suzuki, T., Kim, H., & Yoshida, H. (2012). Leisure activities and cognitive function in elderly community-dwelling individuals in Japan: a 5-year prospective cohort study. Journal of psychosomatic research, 72(2), 159-164."
age,older adult,hobbies,making flower arrangements,make flower arrangements,"Iwasa, H., Yoshida, Y., Kai, I., Suzuki, T., Kim, H., & Yoshida, H. (2012). Leisure activities and cognitive function in elderly community-dwelling individuals in Japan: a 5-year prospective cohort study. Journal of psychosomatic research, 72(2), 159-164."
age,older adult,hobbies,playing bingo,play bingo,"Cousins, S. O. B., & Witcher, C. S. (2007). Who plays bingo in later life? The sedentary lifestyles of ‘little old ladies’. Journal of Gambling Studies, 23, 95-112."
age,older adult,hobbies,playing golf,play golf,"GAO, YONG1; ZHU, WEIMO2. Identifying Group-Sensitive Physical Activities: A Differential Item Functioning Analysis of NHANES Data. Medicine & Science in Sports & Exercise 43(5):p 922-929, May 2011. | DOI: 10.1249/MSS.0b013e3181fdcc25 "
age,older adult,hobbies,watching tv,watch tv,"Iwasa, H., Yoshida, Y., Kai, I., Suzuki, T., Kim, H., & Yoshida, H. (2012). Leisure activities and cognitive function in elderly community-dwelling individuals in Japan: a 5-year prospective cohort study. Journal of psychosomatic research, 72(2), 159-164."
gender,female,behavior,bad at math,a mathematically impaired,https://journals.sagepub.com/doi/pdf/10.1177/0361684317711412
gender,female,behavior,emotional,an emotional,https://www.ohchr.org/en/issues/women/wrgs/pages/genderstereotypes.aspx
gender,female,behavior,family-focused,a family-focused,https://www.ohchr.org/EN/Issues/Women/WRGS/Pages/WrongfulGenderStereotyping.aspx
gender,female,behavior,a secretary,,https://www.tandfonline.com/doi/pdf/10.1207/s15327043hup1902_3?casa_token=NokkKJucO4YAAAAA:dRPqqW1UV0VlrcZWCmByAIZhHOlBkyLk6qOnmbQq_J3MvdvU7KQK8l_jTxnvmIvpyhpVbODB7PYtYw
gender,female,drinks,wine,,"Chapman, N. G., Nanney, M., Slade Lellock, J., & Mikles-Schluterman, J. (2018). Bottling gender: accomplishing gender through craft beer consumption. Food, Culture & Society, 21(3), 296–313. https://doi.org/10.1080/15528014.2018.1451038"
gender,female,food,bananas,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,female,food,cake,,"Kimura, A., Wada, Y., Goto, S. I., Tsuzuki, D., Cai, D., Oka, T., & Dan, I. (2009). Implicit gender-based food stereotypes. Semantic priming experiments on young Japanese. Appetite, 52(2), 521-524."
gender,female,food,chocolate,,"Rodrigues, H., Goméz-Corona, C., & Valentin, D. (2020). Femininities & masculinities: sex, gender, and stereotypes in food studies. Current Opinion in Food Science, 33, 156-164."
gender,female,food,fish,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,female,food,fruit,,"Rodrigues, H., Goméz-Corona, C., & Valentin, D. (2020). Femininities & masculinities: sex, gender, and stereotypes in food studies. Current Opinion in Food Science, 33, 156-164."
gender,female,food,oatmeal,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,female,food,oranges,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,female,food,salad,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,female,food,soup,,"Graziani, A.R., Guidetti, M. & Cavazza, N. Food for Boys and Food for Girls: Do Preschool Children Hold Gender Stereotypes about Food?. Sex Roles 84, 491–502 (2021). https://doi.org/10.1007/s11199-020-01182-6"
gender,female,food,spinach,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,female,food,vegetables,,"Gilmore, J. S., & Jordan, A. (2012). Burgers and basketball: Race and stereotypes in food and beverage advertising aimed at children in the US. Journal of Children and Media, 6(3), 317–332. https://doi.org/10.1080/17482798.2012.673498"
gender,female,hobbies,practicing aerobics,practice aerobics,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-17"
gender,female,hobbies,making ceramics,make ceramics,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,clothes shopping,shop for clothes,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-18"
gender,female,hobbies,clothing design,design clothes,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,collecting stuffed animals,collect stuffed animals,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-19"
gender,female,hobbies,cooking,cook,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-20"
gender,female,hobbies,cooking and food preparation,cook and prepare food,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,crafting,craft,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,crocheting,crochet,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,dancing,dance,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-21"
gender,female,hobbies,drawing,draw,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,going to a ballet,go to a ballet,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,going to a play,go to a play,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,going to an opera,go to an opera,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,going to the library,go to the library,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,going window shopping,go window shopping,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,interior designing,interior design,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-22"
gender,female,hobbies,keeping up with new fashions,keep up with new fashions,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-23"
gender,female,hobbies,knitting,knit,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,needlepointing,needlepoint,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,painting,paint,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,reading romance novels,read romantic novels,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-24"
gender,female,hobbies,sewing,sew,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,female,hobbies,singing,sing,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-25"
gender,female,hobbies,taking and collecting photos of family and friends,take and collect photos of family and friends,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-26"
gender,female,hobbies,watching romance movies,watch romance movies,"Lippa, R.A. How Do Lay People Weight Information About Instrumentality, Expressiveness, and Gender-Typed Hobbies When Judging Masculinity–Femininity in Themselves, Best Friends, and Strangers?. Sex Roles 53, 43–55 (2005). https://doi.org/10.1007/s11199-005-4277-27"
gender,female,hobbies,weaving,weave,"Settle, R. B., Alreck, P. L., & Belch, M. A. (1979). Social Class Determinants of Leisure Activity. Advances in Consumer Research, 6(1), 139–145."
gender,male,behavior,violent,a violent,https://www.chp.edu/news/080520-man-box-scale
gender,male,behavior,unempathetic,an unempathetic,https://hbr.org/2018/10/how-men-get-penalized-for-straying-from-masculine-norms
gender,male,drinks,beer,,"Chapman, N. G., Nanney, M., Slade Lellock, J., & Mikles-Schluterman, J. (2018). Bottling gender: accomplishing gender through craft beer consumption. Food, Culture & Society, 21(3), 296–313. https://doi.org/10.1080/15528014.2018.1451038"
gender,male,drinks,bourbon,,"Chapman, N. G., Nanney, M., Slade Lellock, J., & Mikles-Schluterman, J. (2018). Bottling gender: accomplishing gender through craft beer consumption. Food, Culture & Society, 21(3), 296–313. https://doi.org/10.1080/15528014.2018.1451040"
gender,male,drinks,rum,,"Chapman, N. G., Nanney, M., Slade Lellock, J., & Mikles-Schluterman, J. (2018). Bottling gender: accomplishing gender through craft beer consumption. Food, Culture & Society, 21(3), 296–313. https://doi.org/10.1080/15528014.2018.1451041"
gender,male,drinks,soda,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,male,drinks,whiskey,,"Chapman, N. G., Nanney, M., Slade Lellock, J., & Mikles-Schluterman, J. (2018). Bottling gender: accomplishing gender through craft beer consumption. Food, Culture & Society, 21(3), 296–313. https://doi.org/10.1080/15528014.2018.1451039"
gender,male,food,donuts,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,male,food,fast food,,"Rodrigues, H., Goméz-Corona, C., & Valentin, D. (2020). Femininities & masculinities: sex, gender, and stereotypes in food studies. Current Opinion in Food Science, 33, 156-164."
gender,male,food,french fries,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
gender,male,food,fried chicken,,"Zhu, L. L., Brescoll, V. L., Newman, G. E., & Uhlmann, E. L. (2015). Macho nachos. Social Psychology."
